YOR039W YOR061W
YBR102C YJL085W
YDR175C YJR101W
YGR261C YPL195W
YDL150W YNL113W
YOR270C YOR332W
YCR057C YLR222C
YDR427W YPR108W
YDL007W YGR232W
YBR152W YOR308C
YFL013C YPL235W
YDR237W YPR100W
YHL030W YOR117W
YJR050W YMR213W
YBR282W YNL005C
YCR081W YDR443C
YLR170C YPR029C
YDR180W YER147C
YGL129C YOR158W
YCR052W YIL126W
YGR091W YLR147C
YBR154C YKL144C
YDR347W YOR158W
YBR122C YKL167C
YLR052W YOR141C
YML071C YPR105C
YHR188C YLR088W
YJL063C YML009C
YGL031C YPL143W
YNL330C YPL181W
YGR135W YJL001W
YGR252W YPL254W
YER029C YLR147C
YMR167W YNL082W
YDR392W YHR099W
YDL147W YPR108W
YGL120C YKR022C
YDL145C YDR238C
YDR469W YLR015W
YCR042C YGL066W
YER022W YNL236W
YER021W YLR421C
YGL240W YKL022C
YCL017C YER048W-A
YDR462W YML025C
YOR308C YPR178W
YDR145W YHR099W
YBR282W YCR071C
YER133W YKL018W
YBL018C YBR167C
YDR448W YPL011C
YDR462W YNL252C
YDR179C YIL071C
YNL069C YPL249C-A
YDR443C YPR070W
YHR010W YNL301C
YLR333C YMR143W
YLL036C YMR213W
YKL012W YMR125W
YAL043C YKL018W
YHR156C YPR082C
YBL038W YNL185C
YJR093C YKR002W
YDR303C YLR321C
YMR227C YPL011C
YDR322W YLR312W-A
YDR116C YPR100W
YMR075W YMR263W
YMR112C YPR070W
YDR202C YJR033C
YBR146W YNL306W
YEL002C YMR149W
YJR101W YJR113C
YKL167C YMR024W
YML015C YML098W
YGL025C YGL127C
YBR122C YHR147C
YDR337W YMR188C
YDR427W YHR200W
YDR322W YNL005C
YBR146W YGR165W
YLR275W YMR125W
YLR102C YLR127C
YML049C YPL213W
YDR246W YML077W
YJL140W YOR151C
YOR308C YPR082C
YBR103W YCR033W
YBR055C YNL147W
YGR215W YMR188C
YDR238C YIL076W
YLR312W-A YMR193W
YML025C YNL005C
YDR429C YMR309C
YDR188W YJL111W
YDR176W YML015C
YMR192W YPL249C
YNL137C YPL118W
YKL173W YPR082C
YNL097C YNL330C
YDL147W YHR200W
YLL036C YPR101W
YDR448W YOL148C
YDL116W YDL195W
YGL130W YPL228W
YCR081W YHR041C
YBR122C YPL183W-A
YBR102C YLR166C
YDL116W YGL092W
YER133W YPR107C
YER008C YPR055W
YBR122C YDR462W
YLR222C YLR409C
YDR167W YOL148C
YGR232W YIL075C
YHR056C YPR034W
YMR227C YOL148C
YGR275W YPR034W
YGR193C YNL071W
YDR195W YKL018W
YML098W YMR236W
YBR055C YHR156C
YJL063C YKR085C
YCR042C YDR167W
YMR075W YOL004W
YGL011C YML092C
YBR152W YDR378C
YKR068C YOR115C
YDR473C YLR275W
YDL082W YGR085C
YDL150W YOR210W
YML015C YMR223W
YKR085C YMR024W
YDR073W YPL016W
YBL090W YBR146W
YBR095C YDL076C
YDR308C YGL127C
YJR113C YOR158W
YCL010C YMR236W
YAL021C YCR093W
YCR081W YPR168W
YJL081C YMR075W
YDR308C YLR071C
YDL087C YGR013W
YFR004W YPR108W
YBL045C YDR529C
YBL041W YER094C
YLR321C YML127W
YDR235W YPL178W
YBR146W YIL093C
YDR118W YLR102C
YBR167C YNL221C
YBR119W YER029C
YLR005W YPR056W
YDL111C YNL232W
YBL090W YDR337W
YGR056W YGR275W
YDR041W YHL004W
YER148W YGL066W
YGR232W YHR027C
YAL033W YNL221C
YDR529C YPR191W
YKL167C YLR312W-A
YDL098C YOR308C
YGR135W YOR362C
YGL098W YGL145W
YKR027W YLR330W
YFR010W YFR052W
YDL092W YML105C
YBR289W YPL129W
YFR037C YPR034W
YDR462W YKR006C
YGR075C YPR178W
YNL248C YOR340C
YGR195W YOL142W
YDR176W YMR005W
YGR252W YMR227C
YKL144C YNL151C
YNL236W YOR174W
YGR075C YLR438C-A
YFR010W YOR259C
YGL092W YGL100W
YNL236W YOL051W
YKL167C YNL005C
YBL035C YNL102W
YBR152W YPR178W
YBR195C YPR018W
YOL127W YPL143W
YHL004W YMR188C
YDR041W YNL306W
YJL005W YNL138W
YHR086W YPL178W
YBR152W YLR438C-A
YAL016W YOR014W
YAL002W YLR148W
YBL074C YGR091W
YMR024W YPL183W-A
YJR041C YOL144W
YNR010W YPL042C
YDR195W YPR107C
YAL001C YGR047C
YEL056W YPL001W
YEL018W YFL024C
YCR071C YKL167C
YBR167C YNL282W
YBR251W YDR175C
YDR041W YGR165W
YJL140W YOL005C
YDL185W YGR020C
YKL003C YKL155C
YEL018W YHR099W
YMR188C YPL013C
YGL112C YML015C
YBR278W YNL262W
YGL151W YHR041C
YML015C YPL011C
YIL076W YPL010W
YGR075C YPR082C
YNL177C YPL183W-A
YGR200C YPL101W
YBL038W YMR225C
YBL074C YKL173W
YDR405W YKL167C
YKL018W YNL317W
YKR085C YLR312W-A
YBR122C YMR193W
YDR301W YOR179C
YLR421C YPR108W
YDR394W YHR027C
YFR004W YOR259C
YBR198C YDR448W
YML092C YOL038W
YMR288W YOR319W
YHR165C YLR275W
YBR152W YPR082C
YDR237W YKL167C
YAL034W-A YIR010W
YDR378C YOR308C
YER008C YJL085W
YBL018C YGR030C
YKR085C YNL005C
YEL051W YLR447C
YBL038W YOR150W
YLR277C YNL222W
YDR362C YPL007C
YGL103W YNL301C
YGL092W YPL085W
YML092C YPR103W
YDR434W YHR188C
YBR198C YGR252W
YDL100C YER083C
YCR081W YNR010W
YOR340C YOR341W
YKL057C YPR181C
YCR071C YHR147C
YGR084C YJR113C
YJL081C YNL107W
YDR045C YKL144C
YHR058C YPR070W
YHR086W YLR147C
YBR079C YMR146C
YGL066W YGR252W
YBR251W YKL003C
YDR041W YIL093C
YDR308C YNL025C
YLR071C YNL025C
YER017C YMR089C
YMR112C YNL236W
YDR405W YHR147C
YDR308C YGL025C
YFR051C YPL010W
YML015C YOL148C
YOR207C YOR210W
YAL034W-A YJR112W
YJL081C YOR244W
YBR160W YDL155W
YDR080W YLR148W
YDL098C YDR378C
YGR220C YNL177C
YBL090W YPL118W
YDL002C YDR190C
YDR237W YHR147C
YBR253W YCR081W
YER133W YKR002W
YFR051C YIL076W
YBL090W YKL003C
YCR071C YPL183W-A
YDR347W YPL118W
YMR052W YNL127W
YMR075W YOR244W
YCL010C YMR223W
YGR165W YHL004W
YLR398C YPR189W
YGR030C YHR062C
YMR309C YNL244C
YGR056W YMR033W
YOR340C YPR010C
YMR024W YMR193W
YDR308C YDR443C
YER068W YGR134W
YBL038W YDR237W
YLR421C YOR259C
YDR405W YPL183W-A
YGR056W YLR357W
YKR027W YOR299W
YHR147C YOR150W
YBR055C YER029C
YDR404C YPR187W
YBR119W YPR182W
YBR154C YDR045C
YBR119W YLR298C
YGL115W YGL208W
YOL021C YOL142W
YFR052W YPR108W
YDR237W YPL183W-A
YER012W YOL038W
YOL005C YOR224C
YGR220C YLR439W
YER090W YKL211C
YFL024C YMR075W
YML073C YPL249C-A
YGR013W YPR182W
YGR013W YLR298C
YDL098C YPR178W
YKL144C YOR207C
YDL087C YGR074W
YBR146W YBR251W
YER021W YOR117W
YFR050C YGR135W
YDL002C YPL235W
YLR147C YOR308C
YBR193C YPL042C
YHR010W YPL143W
YAL013W YNL097C
YER008C YLR166C
YDR404C YIL021W
YBR198C YDR145W
YKR006C YNL185C
YHR041C YOL135C
YDL075W YOR234C
YBR282W YDR322W
YDR337W YJR113C
YGL048C YGR232W
YDL090C YKL019W
YML073C YOL127W
YML073C YNL069C
YDL111C YHR081W
YML098W YPL011C
YDR179C YOL117W
YOR207C YPR190C
YER172C YHR165C
YGR128C YMR093W
YBR102C YER008C
YOR158W YPL118W
YDR175C YNR037C
YDL030W YML049C
YCL010C YPL011C
YGR020C YMR054W
YDR195W YKR002W
YAL043C YER133W
YBR251W YKL155C
YGR135W YPR103W
YDL111C YHR069C
YJL176C YNR023W
YLR221C YNR038W
YBR087W YOL094C
YKL144C YNL113W
YGL022W YMR149W
YCR046C YDR116C
YDL098C YPR082C
YIL061C YMR125W
YDR280W YNL232W
YBL090W YNL137C
YML009C YNL284C
YBR211C YPL018W
YGL151W YPL042C
YDL097C YLR421C
YML009C YMR225C
YDR148C YFL018C
YDR347W YNL137C
YFR052W YHR200W
YGR074W YOR308C
YBR081C YDR448W
