YBL074C YER112W
YEL055C YPR144C
YBR193C YER022W
YBL027W YLR325C
YAL001C YBR123C
YER102W YLR287C-A
YML063W YOR206W
YBL026W YLR147C
YHR141C YOR206W
YDL083C YGL103W
YGR118W YPL198W
YDR473C YKL173W
YDR378C YGL120C
YGR085C YNL178W
YDL043C YGR091W
YDL083C YDR382W
YDL083C YDR012W
YGL030W YPL198W
YIL061C YLR424W
YDL150W YGR063C
YDL029W YLR370C
YNR003C YPR110C
YLR002C YLR325C
YBR181C YJR123W
YOR039W YOR123C
YDL083C YOR063W
YGR104C YOR174W
YDL136W YGL076C
YDL042C YJL076W
YOL148C YPL254W
YHR165C YML049C
YLR029C YMR194W
YAL011W YEL018W
YKL180W YLR075W
YHR166C YLR127C
YLR102C YLR127C
YIL069C YOL127W
YGR074W YLR117C
YNL113W YPL129W
YER021W YHR027C
YBL084C YKL022C
YDR418W YGR118W
YCR071C YML025C
YGR075C YJR022W
YGR091W YPR178W
YGL103W YIL018W
YDL043C YPR182W
YDR176W YMR223W
YOL040C YPL220W
YDR359C YOR141C
YDR324C YLR129W
YGL135W YJL190C
YKL180W YOR206W
YER112W YHR165C
YDR064W YHR203C
YGR275W YHR056C
YDL007W YDR363W-A
YDL098C YGR074W
YBR154C YPR190C
YBR146W YGR084C
YBL027W YER102W
YDR211W YJR007W
YDL075W YDR012W
YBR154C YIL021W
YLL045C YLR340W
YBR193C YLR071C
YOR157C YOR362C
YCR052W YKR008W
YNL032W YNL099C
YIL061C YLR275W
YDL136W YLR029C
YDL075W YOR063W
YER074W YOR063W
YDR064W YHR197W
YGR030C YNL221C
YDR245W YLR342W
YBR257W YNL221C
YJL001W YOL038W
YBR055C YIL061C
YGR034W YHR203C
YOL127W YOR206W
YNL232W YOR001W
YGR027C YJR145C
YJR063W YOR116C
YGR156W YNL222W
YDR337W YNL306W
YLR448W YML063W
YOL005C YOR116C
YJR140C YOR038C
YGR034W YHR197W
YIL018W YMR142C
YJR123W YLR287C-A
YDL098C YKL173W
YBR181C YGL103W
YGR085C YGR118W
YGR085C YLR002C
YHR086W YIL061C
YNL330C YPL139C
YOL120C YOR206W
YFR032C-A YNL069C
YER172C YGR013W
YIL021W YPR110C
YBL092W YBR191W
YNL096C YPL143W
YLR287C-A YNL178W
YBR181C YDR382W
YBR181C YDR012W
YCR031C YLR287C-A
YLR440C YNL258C
YBR189W YOL127W
YER050C YMR188C
YDL083C YOR096W
YOR159C YOR308C
YDL136W YKL180W
YLR325C YMR242C
YBL038W YMR024W
YJR093C YMR061W
YHR203C YOL039W
YBR181C YOR063W
YLR325C YNL069C
YBR245C YDR224C
YFL024C YPR023C
YBL026W YDR473C
YER112W YIL061C
YAL033W YBR167C
YGL031C YLR287C-A
YBR119W YML046W
YBL026W YLR298C
YBL027W YBR191W
YBR119W YDL087C
YGR074W YLR424W
YKL144C YNL151C
YJL069C YLR197W
YAL016W YDL134C
YBR119W YGR013W
YLR340W YPL220W
YMR236W YPL254W
YGR095C YOR001W
YGL147C YJL190C
YFR009W YPR036W
YMR194W YOR312C
YGL030W YPL249C-A
YBL072C YER074W
YBL092W YDL082W
YDR308C YOL135C
YDR322W YDR462W
YDL136W YIL133C
YDR334W YGL150C
YDR404C YGR005C
YDL083C YDL136W
YBR191W YGL135W
YGR002C YOR244W
YBR031W YNL096C
YBR060C YNL261W
YBR048W YER074W
YDL082W YJR123W
YGL025C YHR058C
YIL133C YKL180W
YDR427W YHR027C
YFR031C-A YPL198W
YER050C YNL081C
YBL041W YGR135W
YDL030W YDR378C
YNR003C YOR116C
YDR489W YOL146W
YBR031W YGL030W
YBL027W YDL082W
YJR101W YOR158W
YFL024C YHR090C
YOR159C YPL213W
YBR234C YIL062C
YDR045C YKR025W
YDL082W YDR450W
YML105C YPL243W
YKR037C YKR083C
YDL007W YHR027C
YMR194W YPL090C
YDR449C YHR196W
YGL076C YPL131W
YGL030W YGR085C
YDR045C YPR190C
YDL043C YPR101W
YBR081C YML098W
YBR009C YBR010W
YDR045C YDR404C
YFR032C-A YJL190C
YIL018W YLR340W
YER178W YNL071W
YGR063C YOR210W
YLR127C YNL172W
YLR071C YNL236W
YBL092W YDR064W
YNL113W YPR010C
YBR181C YOR096W
YBL027W YIL018W
YDR471W YFR032C-A
YGL030W YJL177W
YKR008W YPR034W
YBL090W YOR158W
YIL069C YOR312C
YJR123W YJR145C
YDR449C YJL069C
YBR191W YFR032C-A
YCR081W YGL151W
YEL036C YJR075W
YGL120C YOR159C
YIL035C YOR123C
YIL035C YOR039W
YAL034W-A YPL233W
YDR308C YOL051W
YDL082W YGL103W
YMR061W YPR107C
YDL185W YFR009W
YGL105W YGL245W
YDR447C YJL190C
YGL147C YML073C
YKL018W YPR107C
YDL082W YDR382W
YBR181C YDL136W
YBR231C YGR002C
YIL021W YOR116C
YGR220C YLR439W
YKL155C YMR188C
YHR203C YOR063W
YDL098C YDR240C
YIL133C YPL143W
YEL018W YNL107W
YOR308C YPR178W
YGL031C YJR145C
YFR031C-A YLR448W
YGL076C YJR123W
YDL005C YNL236W
YER112W YLR424W
YDR190C YOR244W
YDL030W YJL203W
YBR055C YLR275W
YDR141C YNL297C
YDR175C YGR165W
YIL069C YPL090C
YJR145C YLR029C
YCR046C YNL252C
YDR450W YNL178W
YBL072C YLL045C
YDL145C YNL287W
YHR099W YMR223W
YGL103W YNL301C
YLR441C YML073C
YDR235W YJR022W
YHR041C YPR070W
YDL087C YML046W
YDR012W YHR203C
YPL090C YPL220W
YDR176W YPL254W
YDL147W YDR394W
YDR450W YNL301C
YGL133W YPL082C
YBL072C YMR242C
YOR312C YPL249C-A
YJR101W YNL137C
YBR048W YLL045C
YBL072C YNL069C
YHR086W YLR275W
YGR027C YLL045C
YHR187W YPL086C
YAL033W YDR478W
YHR196W YJL069C
YDR116C YLR439W
YDR471W YOL039W
YBR127C YJR121W
YBL045C YPR191W
YLL045C YPL131W
YML127W YMR091C
YGL135W YOL040C
YGL066W YML098W
YGL233W YJL085W
YGL150C YOR141C
YDR012W YHR197W
YBR048W YMR242C
YGR027C YMR242C
YHR165C YOR159C
YBR048W YNL069C
YFR032C-A YML073C
YDR235W YGR091W
YBR152W YGR074W
YGR027C YNL069C
YDR308C YGL025C
YML063W YMR242C
YDL030W YMR240C
YBR191W YOL039W
YAL047C YHR172W
YKR006C YKR085C
YML063W YNL069C
YGL030W YIL069C
YDL005C YGR104C
YCR020W-B YDR303C
YJL011C YOR210W
YLR085C YNL107W
YDL185W YPR036W
YIL061C YPL213W
YBR257W YGR030C
YBR251W YGR084C
YBR231C YNL059C
YDR138W YML062C
YHR172W YNL126W
YOR158W YPL118W
YDR064W YIL018W
YDL140C YOR151C
YCL010C YDR145W
YGL048C YOR117W
YMR158W YPL013C
YGR220C YOR150W
YBL037W YJR005W
YGL135W YLR325C
YLL010C YOR043W
YLR029C YOR312C
YDR404C YOL005C
YBR152W YKL173W
YGR056W YMR091C
YHR203C YOR096W
YJL203W YPR082C
YKL180W YLL045C
YDR447C YML073C
YBR095C YDL076C
YDL083C YGL031C
YDL082W YOR096W
YGL103W YLR406C
YBR152W YDL098C
YGR074W YKL012W
YDR378C YIR009W
YDR028C YGL115W
YLR029C YLR075W
YDL002C YGL150C
YKL180W YMR242C
YJR063W YNL151C
YDR448W YMR227C
YHR166C YLR102C
YKL180W YNL069C
YGR075C YHR165C
YGL076C YML063W
YDR418W YPL249C-A
YBR245C YPL082C
YBR251W YNL137C
YGL147C YHR203C
YLR029C YOR206W
YKL012W YML046W
YBL072C YJL190C
YBR278W YDR121W
YMR242C YNL301C
YBL072C YBR181C
YBL027W YBR031W
YDL082W YDL136W
YJR145C YMR194W
YGR056W YMR033W
YML010W YPR110C
YBR048W YJL190C
YGL147C YHR197W
YFR010W YOR261C
YDL140C YNR003C
YLR052W YNL059C
YGR027C YJL190C
YNL031C YPL001W
YLR398C YMR116C
YDL145C YFR051C
YBR048W YBR181C
YDR471W YGL103W
YBL103C YOL067C
YBR198C YDR167W
YDL043C YLR117C
YGL120C YMR125W
YBR170C YGR048W
YDR240C YER029C
YIL069C YMR142C
YBL092W YNL301C
YBL093C YGL151W
YDL083C YHR010W
YGR083C YKR026C
YJL085W YLR166C
YML046W YMR240C
YDR443C YMR112C
YGL127C YMR112C
YLR406C YMR194W
YIL075C YOR261C
YDR418W YGR085C
YDR405W YKL167C
YNL222W YOR179C
YDR471W YOR063W
YKR085C YLR312W-A
YLR440C YOR075W
YGR085C YPL249C-A
YBR191W YDR012W
YFR032C-A YHR203C
YGL070C YOR116C
YLR424W YMR125W
YNL178W YOR206W
YDR237W YDR322W
YBR191W YOR063W
YER029C YGR074W
YGR274C YPL047W
YDR418W YJL177W
YHR010W YOL120C
YMR125W YOR159C
YDL083C YGR034W
YBR181C YGL031C
YFR032C-A YHR197W
YIL035C YOR061W
YBR055C YOR308C
YDR064W YGL076C
YGR252W YOL148C
YGL103W YHR141C
YLR325C YOL040C
YJL140W YJL148W
YDR045C YNL248C
YLR002C YNL301C
YHR027C YOR117W
YEL051W YPR036W
YNR003C YPL129W
YBR122C YDR116C
YML127W YNR023W
YBR102C YIL068C
YGL103W YOL127W
YDL140C YNL113W
YDR156W YPR187W
YKL155C YNL306W
YFR010W YHR200W
YHR165C YMR125W
YJL148W YOR207C
YIL061C YLR147C
YGR075C YLR117C
YBR031W YKL180W
YHR086W YOR308C
YDL136W YHL033C
YFR010W YIL075C
YDR301W YOR179C
YOR116C YOR207C
YCR093W YNL288W
YER112W YKL012W
YDR447C YHR203C
YML069W YOL145C
YBL072C YBR048W
YBR189W YMR142C
YGL206C YGR167W
YHL033C YOL120C
YHR197W YLR441C
YBL074C YML046W
YER021W YGR232W
YFR004W YHR200W
YBL074C YDL087C
YER148W YGL112C
YIL018W YJR123W
YDR238C YGL137W
YDL075W YGR034W
YER074W YGR034W
YFR004W YIL075C
YHL001W YLR002C
YDR447C YHR197W
YBL038W YHR147C
YDR064W YLR029C
YDR382W YML073C
YEL055C YLR129W
YDL013W YIL075C
YGR085C YJL177W
YBR152W YDR240C
YGR195W YHR081W
YBL074C YBR152W
YBR181C YHR010W
YMR223W YMR227C
YBR031W YIL133C
YGR232W YOR117W
YGR162W YMR230W
YBR055C YPL213W
YBL026W YIR009W
YDR473C YER029C
YDR471W YOR096W
YGR056W YNR023W
YDL030W YML049C
YBL027W YLR406C
YDR175C YIL093C
YDL136W YLR075W
YER012W YOR362C
YBR079C YDR429C
YER029C YMR240C
YGR034W YLR029C
YDR224C YGL133W
YBR289W YLR357W
YML063W YOL120C
YLR287C-A YPL249C-A
YIL021W YNL151C
YHR086W YPL213W
YLR409C YPR144C
YHR141C YOL120C
YGL092W YJR042W
YGR002C YOR141C
YML010W YOR116C
YDL136W YOR206W
YDR418W YIL069C
YLR406C YOL127W
YGR013W YJL203W
YGL240W YNL172W
YER102W YML073C
YBR181C YGR034W
YGR063C YGR186W
YLL045C YOR096W
YDR448W YGR274C
YDR325W YLR272C
YDR322W YLR312W-A
YOL135C YPL042C
YEL054C YPR102C
YGL135W YIL018W
YBR055C YMR288W
YDL116W YJR042W
YFL022C YLR060W
YBR231C YDR359C
YCR046C YMR024W
YNL059C YPR023C
YDR362C YPL007C
YDR363W-A YFR052W
YBR103W YIL112W
YGR158C YHR069C
YBR031W YPL143W
YGL223C YGR120C
YGR020C YJR121W
YGR128C YLR222C
YKR008W YMR091C
YNL136W YOR244W
YGR075C YLR424W
YGR179C YPR046W
YBR189W YGR027C
YFR037C YLR033W
YDR363W-A YHL030W
YMR242C YOL127W
YGR252W YMR005W
YKR068C YMR218C
YNL030W YPL001W
YGR013W YMR240C
YDR378C YHR086W
YBR189W YLR340W
YDL082W YGL031C
YER050C YNR037C
YBR289W YHL025W
YKL003C YPL118W
YDR235W YHR165C
YGR195W YOL021C
YGR074W YLR147C
YHR039C-A YJR033C
YGR085C YIL069C
YBR146W YJR113C
YDR045C YDR156W
YOL039W YPL198W
YDR447C YER102W
YDR175C YJR101W
YBL092W YOL127W
YGL120C YGR091W
YDL150W YOR224C
YDR427W YGR232W
YDR118W YHR166C
YBL093C YBR253W
YIL061C YLR298C
YIL084C YMR075W
YDL098C YER029C
YGR285C YMR116C
YLR127C YOR249C
YBL026W YNL147W
YDR378C YPR082C
YNL081C YNL137C
YGR119C YJL061W
YKL144C YOR207C
YBL072C YOL040C
YBL027W YHR141C
YDR308C YPR070W
YDR064W YMR194W
YDR418W YGR027C
YFR037C YJL176C
YML046W YML049C
YDR382W YHR203C
YGL030W YPL131W
YAL013W YOL004W
YBL027W YOL127W
YDL007W YGR232W
YDR418W YLR340W
YNR003C YPR010C
YMR158W YPL118W
YDR429C YNL244C
YBR048W YOL040C
YKL058W YOR194C
YGR027C YOL040C
YGR165W YGR215W
YDR156W YML010W
YER021W YFR052W
YJR123W YML073C
YDL075W YGR118W
YDL075W YLR002C
YER074W YLR002C
YML063W YOL040C
YDR148C YFL018C
YDL082W YHR010W
YGL147C YIL018W
YGL120C YPR182W
YGR034W YMR194W
YDR382W YHR197W
YDR324C YMR093W
YOR207C YOR210W
YDL083C YDR447C
YGR083C YOR260W
YGR195W YOR001W
YMR061W YNL222W
YLR002C YOL127W
YBR081C YHR099W
YBR095C YPL139C
YCL010C YPL254W
YBL072C YLR325C
YBR055C YLR147C
YER102W YHR203C
YDL043C YKL173W
YHR200W YMR314W
YDL136W YGL147C
YGL031C YML073C
YJR022W YLR275W
YLR424W YPR182W
YCR052W YPL016W
YDR012W YGL076C
YBR048W YLR325C
YNL248C YOR341W
YDL043C YDL098C
YLR071C YOR174W
YKR068C YML077W
YGR027C YLR325C
YDL140C YKL144C
YIL018W YOR096W
YHL025W YHR056C
YHR086W YLR147C
YGR085C YLR340W
YER102W YHR197W
YMR194W YOL039W
YHR141C YLR325C
YJL177W YNL178W
YJR145C YOR312C
YER025W YKR026C
YGL103W YPL090C
YLR298C YLR424W
YHL001W YPL198W
YDR235W YLR117C
YKL180W YOL040C
YBR031W YDR471W
YFR032C-A YIL018W
YJR101W YPL013C
YGR186W YOR207C
YGL207W YLR418C
YDL136W YER074W
YDR422C YDR477W
YBR103W YKR029C
YHR165C YPR182W
YDR211W YER025W
YER112W YLR147C
YDR159W YOL072W
YBL090W YDR337W
YCR052W YLR357W
YDR012W YLR029C
YLR406C YOR312C
YDL134C YGL190C
YFL024C YGR002C
YOL039W YPL249C-A
YKR002W YPR107C
YMR142C YPL220W
YKL155C YNR037C
YGR074W YLR298C
YNL244C YPR041W
YDL150W YKR025W
YBR253W YDR308C
YGL025C YPR168W
YER029C YML049C
YDL005C YOR174W
YGL025C YPL042C
YBR128C YLR360W
YJR145C YPL090C
YEL003W YJL179W
YBL038W YNL005C
YGL076C YHR010W
YDL150W YDR404C
YKL180W YLR325C
YBR048W YER102W
YDR176W YDR392W
YBR181C YDR447C
YDR447C YIL018W
YDR240C YJR022W
YHR041C YHR058C
YBL026W YDR235W
YDR175C YMR158W
YCR020W-B YCR052W
YDR449C YPR144C
YDR334W YFL013C
YDR108W YMR218C
YDR359C YNL136W
YDR427W YFR052W
YDR012W YKL180W
YLR406C YPL090C
YOR312C YPL131W
YBL026W YPR082C
YIL069C YOL039W
YBR253W YMR112C
YDR028C YDR477W
YOR151C YPR190C
YDL148C YGR090W
YGL135W YNL301C
YBL026W YER112W
YCR052W YHL025W
YDL030W YOR159C
YJL177W YLR002C
YCR031C YHR203C
YKR026C YLR291C
YDL007W YFR052W
YHR197W YNL096C
YGL120C YPR101W
YLR287C-A YLR340W
YGR075C YKL012W
YNL113W YOR210W
YGR118W YML063W
YGR074W YPR178W
YDR201W YGL061C
YFL024C YNL059C
YDR404C YOR210W
YGR013W YML049C
YDR235W YLR424W
YMR188C YOR158W
YKL052C YKR083C
YDR012W YIL133C
YDL007W YHL030W
YDR190C YPL235W
YBL072C YBR191W
YCR031C YHR197W
YGL030W YML063W
YGL031C YHR203C
YML025C YOR150W
YAL011W YPR023C
YAR007C YJL173C
YDR471W YHR010W
YDL083C YFR031C-A
YDR045C YPR110C
YBL027W YOR312C
YML010W YNL151C
YDL090C YKL019W
YHR196W YPR144C
YBR048W YBR191W
YLR424W YPR101W
YGL147C YLR029C
YER021W YPR108W
YBR282W YLR312W-A
YDL147W YKL145W
YEL018W YGL150C
YGL031C YHR197W
YDL145C YIL076W
YHL001W YPL249C-A
YMR194W YOR063W
YBR055C YGL120C
YOR116C YPR187W
YLR340W YML073C
YKL018W YMR061W
YML010W YPL129W
YDL136W YLL045C
YBR031W YHL033C
YBR146W YPL118W
YGL103W YMR142C
YGR232W YHR027C
YDL056W YLR182W
YBL072C YDL082W
YDL097C YDR394W
YKR008W YML127W
YDL075W YPL198W
YER074W YPL198W
YDL147W YER021W
YDR450W YMR142C
YDR471W YGR034W
YDL083C YDR418W
YCR071C YKR085C
YDL102W YJR043C
YER112W YLR298C
YBR119W YDR378C
YBR251W YJR113C
YBR152W YER029C
YHR165C YPR101W
YBR048W YDL082W
YDR418W YPL131W
YBL027W YPL090C
YLR439W YNL284C
YGL135W YLR406C
YDR108W YML077W
YBR191W YGR034W
YML073C YNL096C
YJR022W YOR308C
YER148W YML015C
YBR282W YJL063C
YGR020C YHR039C-A
YGR261C YPL195W
YJR113C YMR188C
YEL018W YFL024C
YGR005C YJL011C
YER172C YGR074W
YJL011C YOR151C
YBR189W YJR123W
YNL301C YOR312C
YIL133C YLL045C
YJL140W YPL129W
YDR448W YMR236W
YBR154C YGR063C
YDL082W YDR447C
YDL083C YLR448W
YDL136W YHL001W
YIL133C YMR242C
YDL075W YDR418W
YML046W YOR159C
YHL001W YJL177W
YIL133C YNL069C
YML069W YOR123C
YGR027C YIL018W
YML069W YOR039W
YIL069C YOR063W
YBL072C YDR064W
YDR378C YGR075C
YDL014W YDR324C
YBR181C YFR031C-A
YNL147W YPR182W
YLR029C YOL120C
YGR063C YNL113W
YBR254C YDR108W
YDR443C YHR041C
YGL127C YHR041C
YGR085C YPL131W
YDR180W YER147C
YGL066W YMR227C
YLR075W YOR206W
YNL301C YOR206W
YGR084C YJR113C
YDR418W YJR123W
YDR447C YLR029C
YJR022W YPL213W
YDR064W YOR312C
YJR113C YNL081C
YNL252C YNL284C
YDR175C YKL155C
YER025W YOR260W
YDR450W YGR027C
YLR325C YNL301C
YBR181C YDR418W
YGL147C YMR194W
YGR118W YLR287C-A
YBL038W YGR220C
YJL011C YNR003C
YDR418W YDR450W
YDR064W YLR075W
YBR119W YJL203W
YDR462W YLR312W-A
YDR450W YLR340W
YBR282W YDR237W
YGR034W YOR312C
YJL190C YNL178W
YDL030W YMR125W
YDL098C YJR022W
YDR324C YDR449C
YJR093C YKL018W
YDL013W YDR394W
YBR189W YGL103W
YBR109C YML057W
YDR045C YOR116C
YER018C YIL144W
YGL145W YLR440C
YJR033C YKL080W
YHR166C YNL172W
YGL135W YHR141C
YDL185W YEL051W
YFR031C-A YPL220W
YDR064W YOR206W
YJL069C YMR093W
YBR097W YLR240W
YBR189W YDR382W
YDL082W YLR441C
YLR441C YMR194W
YNL178W YOL120C
YJR022W YMR288W
YDR064W YPL090C
YDL002C YFL013C
YDL075W YPL249C-A
YER074W YPL249C-A
YGR034W YLR075W
YBL092W YMR142C
YGL135W YOL127W
YBR254C YGR166W
YLR192C YPL081W
YAL002W YDL077C
YKL135C YPL259C
YER050C YIL093C
YBR189W YOR063W
YER094C YOR362C
YGR085C YJR123W
YGR083C YPL237W
YDR237W YLR439W
YKL059C YNL317W
YGR104C YNR010W
YDL043C YER172C
YIL112W YKR029C
YBR181C YLR448W
YJL177W YPL198W
YIL061C YIR009W
YLR147C YLR275W
YGR034W YOR206W
YIL133C YJL190C
YHL001W YIL069C
YIL069C YOR096W
YBR119W YMR240C
YDR337W YER050C
YDR462W YJL063C
YDL087C YDR378C
YDR471W YLR002C
YHR084W YPL049C
YKL148C YLL041C
YBR081C YLR055C
YFR032C-A YMR194W
YER029C YOR159C
YGL120C YLR117C
YDR227W YJL076W
YML010W YPR010C
YDR121W YPR175W
YDL040C YOR253W
YDL150W YNL248C
YGL005C YGL223C
YBR289W YIL126W
YFR032C-A YLR406C
YMR312W YPL101W
YIL021W YOR207C
YDR359C YFL039C
YBR191W YGR118W
YBR191W YLR002C
YLR287C-A YPL131W
YLR312W-A YMR193W
YDR235W YKL012W
YJL011C YNL113W
YDL075W YGR085C
YER074W YGR085C
YGR253C YJL001W
YDR443C YNR010W
YHR203C YPL198W
YLR325C YLR406C
YDR359C YLR085C
YLR002C YMR142C
YDR394W YMR314W
YLL004W YNL261W
YLR071C YMR112C
YDR382W YGL076C
YMR223W YMR236W
YDL083C YNL096C
YDR418W YML063W
YHR010W YNL178W
YDR145W YML098W
YNL081C YPL013C
YDR449C YLR197W
YAL013W YNL097C
YHR085W YNL182C
YGL112C YPL047W
YDR156W YNR003C
YKL173W YPR182W
YGL103W YGL135W
YLR291C YOR260W
YDR447C YMR194W
YDL082W YFR031C-A
YJL190C YLR002C
YPR110C YPR190C
YDR074W YML100W
YBR122C YNL284C
YNL069C YOR206W
YJL140W YPR010C
YGR005C YGR063C
YNL147W YPR101W
YOR254C YPL094C
YDR303C YMR033W
YGR220C YKL167C
YGL233W YIL068C
YLR321C YLR357W
YHR147C YLR439W
YGR013W YOR159C
YDR237W YOR150W
YGL076C YLR441C
YHR165C YLR117C
YOL021C YOR001W
YBR189W YOR096W
YBL092W YGR027C
YBR031W YER074W
YDL136W YOL120C
YFR004W YFR010W
YDL148C YJL109C
YER102W YGL076C
YDR347W YNL306W
YNL041C YNL051W
YDR382W YLR029C
YHL033C YNL178W
YCR020C-A YEL053C
YGL031C YIL018W
YDL140C YJL140W
YBL092W YLR340W
YJR022W YLR147C
YKL167C YLR439W
YBR193C YDR443C
YNL096C YOL040C
YFR037C YLR321C
YIL061C YNL147W
YGR085C YML063W
YDL087C YJL203W
YBR193C YPR168W
YDR041W YGR165W
YBR079C YOR361C
YDR167W YDR176W
YBR251W YPL118W
YAL043C YNL317W
YHR196W YLR197W
YOR159C YPR082C
YIL062C YNR035C
YDR308C YHR058C
YKL135C YLR170C
YGR113W YKR083C
YDR064W YGL147C
YBL072C YNL301C
YGL066W YGR274C
YHR197W YKL180W
YBR189W YDL136W
YFR031C-A YLR287C-A
YHR056C YJL176C
YFR032C-A YHR141C
YNL136W YPL235W
YDR418W YOR096W
YJL177W YPL249C-A
YER102W YLR029C
YHR203C YLR448W
YJL069C YLR409C
YBR048W YNL301C
YBR146W YKL003C
YJL109C YLR222C
