Method,GldStd,PPIN,Predicts,Refs,Precision,Recall,F0.5-score,F1-score,F2-score,AUC-PR,MMR,Sensitivity,PPP,Accuracy,F-Match,Separation
P5COMP,CYC,Collins,552,408,0.8840579710144928,0.5784313725490197,0.7995645605616281,0.6993102108228895,0.6213957664283988,0.3381144161636327,0.4962546449644947,0.6614583333333334,0.7383105140790494,0.6988287645233305,0.6102941176470589,0.41818114160796727
PC2P,CYC,Collins,209,408,0.8995215311004785,0.5294117647058824,0.7891791044776119,0.6665353555249163,0.5768837367882714,0.3437382651741825,0.41328896401286713,0.6395833333333333,0.7383399209486166,0.6871898629733896,0.5808823529411765,0.6721277676223001
CUBCO+,CYC,Collins,202,408,0.8465346534653465,0.46568627450980393,0.7275357385976855,0.600843288826423,0.5117309073497726,0.2838456742841987,0.37545211486157753,0.5583333333333333,0.7323187108325873,0.6394356471776718,0.5343137254901961,0.649963357999908
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.7296893091470475,0.5328987932705012,0.41970752282376456,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
P5COMP,CYC,Gavin,477,408,0.859538784067086,0.4681372549019608,0.7364004303113739,0.6061450459968961,0.515043533049997,0.2944124809708809,0.4037977321483008,0.5416666666666666,0.7561448900388098,0.6399831889232367,0.5024509803921569,0.3813606098778546
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.7475259189443921,0.6060895522388059,0.5096590224507008,0.31079085095855274,0.3550831327803789,0.5286458333333334,0.7625570776255708,0.6349193820994924,0.49264705882352944,0.612734345733419
CUBCO+,CYC,Gavin,178,408,0.8146067415730337,0.3872549019607843,0.6673230181292819,0.524953026900692,0.43264945385324294,0.2556382301024927,0.3291414744145066,0.43645833333333334,0.78125,0.5839375590905818,0.4534313725490196,0.5936808960263421
ClusterOne,CYC,Gavin,110,408,0.9,0.2867647058823529,0.6303879310344828,0.43494423791821557,0.3320090805902383,0.22704937393782046,0.2130460499307818,0.4296875,0.738045738045738,0.5631421029070087,0.3137254901960784,0.4576201265237951
P5COMP,CYC,KroganCore,573,408,0.8289703315881326,0.5563725490196079,0.7549882086701285,0.6658515273056247,0.595539899102037,0.3043601992314366,0.4887709055156334,0.5677083333333334,0.7360980207351555,0.6464433312530347,0.6029411764705882,0.4116679400569412
PC2P,CYC,KroganCore,219,408,0.8493150684931506,0.5098039215686274,0.7494885623953879,0.6371541501976286,0.5541042210917091,0.3243052115387631,0.4175477479698186,0.5401041666666667,0.7515527950310559,0.6371159989093451,0.571078431372549,0.6624054501981496
CUBCO+,CYC,KroganCore,221,408,0.7782805429864253,0.45588235294117646,0.681841432225064,0.5749716935353426,0.4970634846648644,0.247512144500611,0.37409459106317355,0.45625,0.7565922920892495,0.5875331763106829,0.5073529411764706,0.6210757579230176
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.6497904314046207,0.4772855265627933,0.3771583694297751,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
P5COMP,CYC,KroganExt,578,408,0.8460207612456747,0.5759803921568627,0.7734925259008766,0.6853600205163684,0.6152570250075491,0.3197279469669684,0.5041600816418671,0.5880208333333333,0.7285756942370857,0.6545362380126123,0.625,0.42198955318430664
