Method,GldStd,PPIN,Predicts,Refs,Precision,Recall,F0.5-score,F1-score,F2-score,AUC-PR,MMR,Sensitivity,PPP,Accuracy,F-Match,Separation
P5COMP,CYC,Collins,662,408,0.8897280966767371,0.5955882352941176,0.8097470399739299,0.7135336434201276,0.6377560568712269,0.3742598237393979,0.5212049969001405,0.6989583333333333,0.7215486066794299,0.7101636512407848,0.6200980392156863,0.3779912252856511
PC2P,CYC,Collins,209,408,0.8995215311004785,0.5294117647058824,0.7891791044776119,0.6665353555249163,0.5768837367882714,0.3437382651741825,0.41328896401286713,0.6395833333333333,0.7383399209486166,0.6871898629733896,0.5808823529411765,0.6721277676223001
CUBCO+,CYC,Collins,203,408,0.8522167487684729,0.4730392156862745,0.734469863616366,0.6083835172143618,0.5192448252803135,0.28752762721986475,0.37766978297457443,0.5552083333333333,0.7392857142857143,0.640669641301751,0.5343137254901961,0.6514691376729165
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.7296893091470475,0.5328987932705012,0.41970752282376456,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
MCL,CYC,Collins,330,408,0.47575757575757577,0.42401960784313725,0.4644239713285183,0.4484011028015783,0.43344695736545447,0.20619780706048127,0.34833192594827395,0.6598958333333333,0.677136596055515,0.6684606333469091,0.5220588235294118,0.5345107950600813
P5COMP,CYC,Gavin,601,408,0.8585690515806988,0.4803921568627451,0.7417795197972165,0.6160743655657217,0.5268004850464837,0.30456382186695036,0.41933672015149304,0.5984375,0.7431964374072242,0.6669007557432257,0.5196078431372549,0.338569611790081
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.7475259189443921,0.6060895522388059,0.5096590224507008,0.31079085095855274,0.3550831327803789,0.5291666666666667,0.7618613138686131,0.6349422114823845,0.49264705882352944,0.612734345733419
CUBCO+,CYC,Gavin,177,408,0.8192090395480226,0.3872549019607843,0.6697890354570118,0.5259050111333012,0.43290779498575244,0.2559032555112464,0.3271806901007811,0.4359375,0.7775377969762419,0.5822008960567912,0.45098039215686275,0.5928260670467553
ClusterOne,CYC,Gavin,110,408,0.9,0.2867647058823529,0.6303879310344828,0.43494423791821557,0.3320090805902383,0.22704937393782046,0.2130460499307818,0.4296875,0.738045738045738,0.5631421029070087,0.3137254901960784,0.4576201265237951
MCL,CYC,Gavin,440,408,0.24545454545454545,0.28431372549019607,0.2523527136779683,0.2634589502018842,0.2755877798113473,0.12813477203999787,0.24281725987665442,0.5260416666666666,0.6942724458204335,0.6043312291451798,0.40931372549019607,0.42367283177881226
P5COMP,CYC,KroganCore,688,408,0.8313953488372093,0.5759803921568627,0.7636666909064466,0.6805111174112025,0.6136868325322503,0.325835268217428,0.5101019697983783,0.5942708333333333,0.7353606433777331,0.6610623135080547,0.6151960784313726,0.37596167581434026
PC2P,CYC,KroganCore,219,408,0.8493150684931506,0.5098039215686274,0.7494885623953879,0.6371541501976286,0.5541042210917091,0.3243052115387631,0.4175477479698186,0.5401041666666667,0.7515527950310559,0.6371159989093451,0.571078431372549,0.6624054501981496
CUBCO+,CYC,KroganCore,222,408,0.7567567567567568,0.44607843137254904,0.6642335766423358,0.5612952968388589,0.485981308411215,0.24286126687440543,0.3676134039245755,0.44895833333333335,0.7497446373850868,0.5801759240316793,0.5024509803921569,0.6151146222852726
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.6497904314046207,0.4772855265627933,0.3771583694297751,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
MCL,CYC,KroganCore,788,408,0.19289340101522842,0.3872549019607843,0.21441631906748185,0.25751662020158694,0.32230357948079275,0.07479935634918118,0.3091642003871833,0.5151041666666667,0.7203994293865906,0.6091639744283324,0.5147058823529411,0.4219584491195288
P5COMP,CYC,KroganExt,752,408,0.8191489361702128,0.5784313725490197,0.7562088021839004,0.6780597014925374,0.6145500784589579,0.31923717862090045,0.510316109115245,0.5869791666666667,0.7241867043847242,0.651983518388943,0.625,0.3700987623546262
PC2P,CYC,KroganExt,225,408,0.8533333333333334,0.5269607843137255,0.7592813313909859,0.6515614271846959,0.5706086769011305,0.3221212196715335,0.4306213286887394,0.5661458333333333,0.7437874892887746,0.6489161640353097,0.5955882352941176,0.6748796243653349
CUBCO+,CYC,KroganExt,229,408,0.777292576419214,0.4803921568627451,0.691782994923858,0.5937978690812541,0.5201264237581251,0.2749774688155105,0.38772927485254227,0.4786458333333333,0.750242013552759,0.5992497090350886,0.5367647058823529,0.6322669930650917
ClusterOne,CYC,KroganExt,132,408,0.8712121212121212,0.3284313725490196,0.6547861853287104,0.4770307082714215,0.37518016438783064,0.2063485761901848,0.24418407050596574,0.46510416666666665,0.6791778373547811,0.5620395378097206,0.39215686274509803,0.4809928013790002
MCL,CYC,KroganExt,888,408,0.1463963963963964,0.33088235294117646,0.1647701667417756,0.20298403886190147,0.2642753885074088,0.03548635447304007,0.26870998109720706,0.5364583333333334,0.7020997375328084,0.6137159400167321,0.4681372549019608,0.4093744002066004
P5COMP,CYC,BIM,1036,408,0.8986486486486487,0.8897058823529411,0.896845742309407,0.8941549061006778,0.8914801684023931,0.6202483339258833,0.8328422500652141,0.953125,0.7157748436414176,0.8259678552133407,0.9681372549019608,0.4568216512056452
PC2P,CYC,BIM,307,408,0.9543973941368078,0.8333333333333334,0.9274499873385669,0.889766170665047,0.855025096299755,0.6581459893563292,0.6775034114575322,0.9265625,0.7516483516483516,0.8345353053191793,0.9093137254901961,0.8295714949487671
CUBCO+,CYC,BIM,310,408,0.9161290322580645,0.7671568627450981,0.8818790774456738,0.8350508684746973,0.7929450972136489,0.571037909398208,0.6480731176483616,0.7947916666666667,0.7861635220125787,0.7904658221156143,0.8333333333333334,0.8116758908048531
ClusterOne,CYC,BIM,209,408,0.9521531100478469,0.5955882352941176,0.850337623971302,0.7327983997454139,0.6438071653952151,0.45504573230498147,0.4497041556733898,0.8359375,0.6864224137931034,0.7574999911090247,0.6862745098039216,0.6460513995886064
MCL,CYC,BIM,1522,408,0.11432325886990802,0.44607843137254904,0.13429934317663664,0.18200209197806871,0.28226007715180085,0.08636662123761965,0.3585339659827129,0.6859375,0.6924281984334204,0.6891752080298045,0.6470588235294118,0.34484796539321927
P5COMP,SGD,Collins,557,306,0.8402154398563735,0.5849673202614379,0.7727759123279584,0.6897341001436741,0.6228077349134247,0.374166695659755,0.5481272341406863,0.633543940264216,0.6247514910536779,0.6291323559697841,0.6633986928104575,0.3597260516951302
PC2P,SGD,Collins,168,306,0.8214285714285714,0.5294117647058824,0.7398141529664046,0.6438569206842923,0.5699339207048459,0.3618641126641216,0.4085364313569254,0.5640436530729466,0.6383363471971067,0.6000413028803074,0.6241830065359477,0.6480992304974383
CUBCO+,SGD,Collins,157,306,0.7898089171974523,0.46405228758169936,0.6925739458779105,0.5846143630266609,0.5057735393807089,0.26905221519488537,0.35939768150691964,0.4870763928776565,0.62148070907195,0.5501895873404127,0.5849673202614379,0.6255481219206933
ClusterOne,SGD,Collins,108,306,0.8981481481481481,0.3790849673202614,0.7050655437752212,0.5331438047855959,0.42862802462363625,0.29760848192679346,0.28374239773713794,0.49511774842044803,0.6179337231968811,0.5531274298950506,0.434640522875817,0.5112005100521464
MCL,SGD,Collins,330,306,0.3575757575757576,0.434640522875817,0.37072207419165865,0.3923598089952248,0.41667994180180756,0.19384057003619198,0.3422822145854892,0.5720850086157381,0.6020151133501259,0.5868592857812777,0.5588235294117647,0.47211140943736246
P5COMP,SGD,Gavin,484,306,0.8243801652892562,0.477124183006536,0.7196294008647314,0.6044262754334451,0.5210181740125931,0.29042728513487837,0.43189082710065646,0.5249856404365307,0.6305187637969095,0.5753375505033286,0.5522875816993464,0.3212840082171349
PC2P,SGD,Gavin,141,306,0.8439716312056738,0.4542483660130719,0.7203640797839909,0.5906128934354525,0.5004689721944873,0.30038930898356647,0.3449021635444162,0.49167145318782307,0.6621761658031088,0.5705901486239973,0.5196078431372549,0.5949336079808464
CUBCO+,SGD,Gavin,140,306,0.7857142857142857,0.40522875816993464,0.6614936954413191,0.5346922775382202,0.4486842105263158,0.24872926705760573,0.32175027167546966,0.43940264215967834,0.6530612244897959,0.5356835143373848,0.49673202614379086,0.5771617934699121
ClusterOne,SGD,Gavin,94,306,0.8829787234042553,0.3235294117647059,0.6560793331417073,0.47354771784232363,0.37047557214737864,0.25639141446841496,0.23767610683567858,0.42044801838024126,0.632420091324201,0.5156547044109183,0.37254901960784315,0.474050591128419
